"Untitled","Untitled 1"
"0.270573","0.548029"
"0.270811","0.548476"
"0.271155","0.548041"
"0.27104","0.548402"
"0.270795","0.548431"
"0.271178","0.54846"
"0.27122","0.548354"
"0.270982","0.548115"
"0.270763","0.548202"
"0.270908","0.547774"
"0.271258","0.548341"
"0.270998","0.548132"
"0.271278","0.548106"
"0.271204","0.548637"
"0.271329","0.547868"
"0.271361","0.548386"
"0.271252","0.548556"
"0.27197","0.548634"
"0.271632","0.548589"
"0.271622","0.547932"
"0.2715","0.548441"
"0.27168","0.548837"
"0.271709","0.548573"
"0.271471","0.548379"
"0.271516","0.54865"
"0.272005","0.548148"
"0.271693","0.548267"
"0.271709","0.548463"
"0.271452","0.54817"
"0.271635","0.548711"
"0.271722","0.547871"
"0.271342","0.54772"
"0.271136","0.547028"
"0.271725","0.548322"
"0.271674","0.54809"
"0.271629","0.548679"
"0.271783","0.548383"
"0.271654","0.547971"
"0.271777","0.548135"
"0.271838","0.548241"
"0.272185","0.548798"
"0.272614","0.549245"
"0.272337","0.548917"
"0.271744","0.548106"
"0.272205","0.548463"
"0.271963","0.547588"
"0.27167","0.547745"
"0.271815","0.547765"
"0.272082","0.548428"
"0.272446","0.54892"
"0.272144","0.547752"
"0.271767","0.547536"
"0.271667","0.548418"
"0.272192","0.547848"
"0.27197","0.547639"
"0.272118","0.548299"
"0.272198","0.548154"
"0.272008","0.547749"
"0.272797","0.54864"
"0.27233","0.548402"
"0.272475","0.548814"
"0.272559","0.548997"
"0.272295","0.547958"
"0.27224","0.548083"
"0.272237","0.548025"
"0.271947","0.547507"
"0.272395","0.548511"
"0.272855","0.548222"
"0.272485","0.548521"
"0.272742","0.549348"
"0.272353","0.54807"
"0.272166","0.548093"
"0.272527","0.547778"
"0.27224","0.547359"
"0.272379","0.547958"
"0.272636","0.548386"
"0.272523","0.548193"
"0.272974","0.548833"
"0.272546","0.547955"
"0.272157","0.549107"
"0.27329","0.548611"
"0.272717","0.548299"
"0.272952","0.54902"
"0.273148","0.548685"
"0.272491","0.547993"
"0.272842","0.548276"
"0.272894","0.548112"
"0.272536","0.548244"
"0.273161","0.549352"
"0.272507","0.547823"
"0.272816","0.548956"
"0.273396","0.548669"
"0.272379","0.547707"
"0.272717","0.54883"
"0.272749","0.548257"
"0.272504","0.548087"
"0.273338","0.548627"
"0.272884","0.548447"
"0.272684","0.547877"
"0.272694","0.548396"
"0.272665","0.547916"
"0.272881","0.549152"
"0.273058","0.548975"
"0.272739","0.548383"
"0.273203","0.548801"
"0.272749","0.547938"
"0.272823","0.548334"
"0.273158","0.549284"
"0.272707","0.548041"
"0.272562","0.548611"
"0.273244","0.54808"
"0.272594","0.547996"
"0.27253","0.548283"
"0.272887","0.548302"
"0.272321","0.54799"
"0.273383","0.548885"
"0.272923","0.548325"
"0.272697","0.549104"
"0.273322","0.548782"
"0.272617","0.548193"
"0.272894","0.549162"
"0.273096","0.548766"
"0.272366","0.548714"
"0.273138","0.549252"
"0.272536","0.547407"
"0.272614","0.548515"
"0.272981","0.548331"
"0.272211","0.547806"
"0.272707","0.548817"
"0.272852","0.548444"
"0.271957","0.548322"
"0.272456","0.549564"
"0.272391","0.547913"
"0.27197","0.547942"
"0.272765","0.548927"
"0.27234","0.548132"
"0.272649","0.549564"
"0.272166","0.548618"
"0.27187","0.548988"
"0.272794","0.548865"
"0.272082","0.547858"
"0.271902","0.548466"
"0.272208","0.548759"
"0.27159","0.54808"
"0.272134","0.548824"
"0.271748","0.548202"
"0.271667","0.548753"
"0.27216","0.549213"
"0.270637","0.547427"
"0.270859","0.548257"
"0.271815","0.548412"
"0.270692","0.547932"
"0.271188","0.548315"
"0.270576","0.548254"
"0.270808","0.548627"
"0.271088","0.54883"
"0.270628","0.548379"
"0.270788","0.548669"
"0.270528","0.548495"
"0.270299","0.548151"
"0.27037","0.548663"
"0.270422","0.548795"
"0.270254","0.549413"
"0.270483","0.550082"
"0.269845","0.548444"
"0.269366","0.548589"
"0.269552","0.54875"
"0.269063","0.548727"
"0.269102","0.548933"
"0.268632","0.548264"
"0.268287","0.548"
"0.268616","0.548537"
"0.267769","0.54818"
