Time (s), Voltage (V)
-2.309999999999999901e-02,3.113580518244974185e-02
-2.308750000000000038e-02,3.112761578744645957e-02
-2.307499999999999829e-02,3.111860678384501672e-02
-2.306249999999999967e-02,3.110970432625820986e-02
-2.305000000000000104e-02,3.110060544293129225e-02
-2.303749999999999895e-02,3.109168459308191829e-02
-2.302500000000000033e-02,3.108285756189208340e-02
-2.301250000000000170e-02,3.107403984914660494e-02
-2.299999999999999961e-02,3.106499624226988915e-02
-2.298750000000000099e-02,3.105582862352427795e-02
-2.297499999999999890e-02,3.104639686516055819e-02
-2.296250000000000027e-02,3.103634179709560681e-02
-2.295000000000000165e-02,3.102684133728903990e-02
-2.293749999999999956e-02,3.101704526716286825e-02
-2.292500000000000093e-02,3.100866496636330710e-02
-2.291249999999999884e-02,3.099872584656444136e-02
-2.290000000000000022e-02,3.099063448549171929e-02
-2.288750000000000159e-02,3.098056309769131253e-02
-2.287499999999999950e-02,3.097197890778893847e-02
-2.286250000000000088e-02,3.096274373145424530e-02
-2.284999999999999878e-02,3.095318294185538804e-02
-2.283750000000000016e-02,3.094334250832349309e-02
-2.282500000000000154e-02,3.093376533103747716e-02
-2.281249999999999944e-02,3.092393800086012945e-02
-2.280000000000000082e-02,3.091402806632027184e-02
-2.278749999999999873e-02,3.090423307209616555e-02
-2.277500000000000011e-02,3.089475056286605792e-02
-2.276250000000000148e-02,3.088399224217929645e-02
-2.274999999999999939e-02,3.087486150762131995e-02
-2.273750000000000077e-02,3.086493337334874493e-02
-2.272499999999999867e-02,3.085446631633726247e-02
-2.271250000000000005e-02,3.084500887222753687e-02
-2.270000000000000143e-02,3.083446841604506675e-02
-2.268749999999999933e-02,3.082507119980007829e-02
-2.267500000000000071e-02,3.081629670207646637e-02
-2.266249999999999862e-02,3.080667554191428986e-02
-2.264999999999999999e-02,3.079611874787591477e-02
-2.263750000000000137e-02,3.078739657749833200e-02
-2.262499999999999928e-02,3.077807219869021019e-02
-2.261250000000000066e-02,3.076950567170205070e-02
-2.259999999999999856e-02,3.076071421549692736e-02
-2.258749999999999994e-02,3.075246263335463734e-02
-2.257500000000000132e-02,3.074574303155164917e-02
-2.256249999999999922e-02,3.073806504337524628e-02
-2.255000000000000060e-02,3.073152832227171727e-02
-2.253749999999999851e-02,3.072432079548741840e-02
-2.252499999999999988e-02,3.071715488006464267e-02
-2.251250000000000126e-02,3.071055336927164606e-02
-2.249999999999999917e-02,3.070387381820594008e-02
-2.248750000000000054e-02,3.069680585743672641e-02
-2.247499999999999845e-02,3.069020788239765207e-02
-2.246249999999999983e-02,3.068349278352791587e-02
-2.245000000000000120e-02,3.067717862012670979e-02
-2.243749999999999911e-02,3.067157266982205657e-02
-2.242500000000000049e-02,3.066603248771147469e-02
-2.241249999999999840e-02,3.066024684137746981e-02
-2.239999999999999977e-02,3.065430576683444638e-02
-2.238750000000000115e-02,3.064811555867570647e-02
-2.237499999999999906e-02,3.064102665971990200e-02
-2.236250000000000043e-02,3.063490812022863150e-02
-2.234999999999999834e-02,3.062938418990179476e-02
-2.233749999999999972e-02,3.062250937054007693e-02
-2.232500000000000109e-02,3.061560425830650925e-02
-2.231249999999999900e-02,3.060970387777692953e-02
-2.230000000000000038e-02,3.060297842759686360e-02
-2.228749999999999828e-02,3.059505330585006108e-02
-2.227499999999999966e-02,3.058958397472138005e-02
-2.226250000000000104e-02,3.058187695530983907e-02
-2.224999999999999895e-02,3.057553001879938920e-02
-2.223750000000000032e-02,3.056726046116501130e-02
-2.222500000000000170e-02,3.055955024575809573e-02
-2.221249999999999961e-02,3.055263415705846211e-02
-2.220000000000000098e-02,3.054557735169480606e-02
-2.218749999999999889e-02,3.053716796076862139e-02
-2.217500000000000027e-02,3.052994773154486113e-02
-2.216250000000000164e-02,3.052276544202528474e-02
-2.214999999999999955e-02,3.051496593807275642e-02
-2.213750000000000093e-02,3.050734309723830695e-02
-2.212499999999999883e-02,3.050013055561788533e-02
-2.211250000000000021e-02,3.049302175587157576e-02
-2.210000000000000159e-02,3.048563742100555279e-02
-2.208749999999999949e-02,3.047834813925511324e-02
-2.207500000000000087e-02,3.047078289428920006e-02
-2.206249999999999878e-02,3.046386812611778100e-02
-2.205000000000000016e-02,3.045668321592728822e-02
-2.203750000000000153e-02,3.044892757027280877e-02
-2.202499999999999944e-02,3.044165043828793785e-02
-2.201250000000000082e-02,3.043488803596851311e-02
-2.199999999999999872e-02,3.042794911775972833e-02
-2.198750000000000010e-02,3.042109689460631428e-02
-2.197500000000000148e-02,3.041246309542626480e-02
-2.196249999999999938e-02,3.040504944392792910e-02
-2.195000000000000076e-02,3.039565786087961713e-02
-2.193749999999999867e-02,3.038706543069999780e-02
-2.192500000000000004e-02,3.037851552696492485e-02
-2.191250000000000142e-02,3.036936929035706847e-02
-2.189999999999999933e-02,3.036056587012105068e-02
-2.188750000000000070e-02,3.035192659629831063e-02
-2.187499999999999861e-02,3.034220322317548318e-02
-2.186249999999999999e-02,3.033322870959646866e-02
-2.185000000000000137e-02,3.032381487915862886e-02
-2.183749999999999927e-02,3.031428237106105136e-02
-2.182500000000000065e-02,3.030439510974142908e-02
-2.181249999999999856e-02,3.029413426125109055e-02
-2.179999999999999993e-02,3.028459794785780951e-02
-2.178750000000000131e-02,3.027357167999216586e-02
-2.177499999999999922e-02,3.026301265940279511e-02
-2.176250000000000059e-02,3.025212305374922264e-02
-2.174999999999999850e-02,3.024178136537575279e-02
-2.173749999999999988e-02,3.023252461210840930e-02
-2.172500000000000125e-02,3.022249429885103325e-02
-2.171249999999999916e-02,3.021161805703355061e-02
-2.170000000000000054e-02,3.020055686198950054e-02
-2.168749999999999845e-02,3.019036943079060967e-02
-2.167499999999999982e-02,3.017953522616535766e-02
-2.166250000000000120e-02,3.016905791524098976e-02
-2.164999999999999911e-02,3.015960320732008482e-02
-2.163750000000000048e-02,3.014919102810877452e-02
-2.162499999999999839e-02,3.013904380167103242e-02
-2.161249999999999977e-02,3.012853804163116711e-02
-2.160000000000000114e-02,3.011929391379134999e-02
-2.158749999999999905e-02,3.010957895082503125e-02
-2.157500000000000043e-02,3.009960520736539025e-02
-2.156249999999999833e-02,3.008963978799009120e-02
-2.154999999999999971e-02,3.008040818591530344e-02
-2.153750000000000109e-02,3.007135495934164932e-02
-2.152499999999999900e-02,3.006274928310889369e-02
-2.151250000000000037e-02,3.005459156719233332e-02
-2.149999999999999828e-02,3.004536485990565164e-02
-2.148749999999999966e-02,3.003629984597555244e-02
-2.147500000000000103e-02,3.002704094090408865e-02
-2.146249999999999894e-02,3.001758230537439689e-02
-2.145000000000000032e-02,3.000858727037926735e-02
-2.143750000000000169e-02,2.999936344197999191e-02
-2.142499999999999960e-02,2.998989672019693534e-02
-2.141250000000000098e-02,2.997961391197930675e-02
-2.139999999999999888e-02,2.997068535640613415e-02
-2.138750000000000026e-02,2.996157987723333666e-02
-2.137500000000000164e-02,2.995256392670218523e-02
-2.136249999999999954e-02,2.994238099843653245e-02
-2.135000000000000092e-02,2.993285931731125282e-02
-2.133749999999999883e-02,2.992370064554066358e-02
-2.132500000000000021e-02,2.991253533262304420e-02
-2.131250000000000158e-02,2.990472826338025011e-02
-2.129999999999999949e-02,2.989532522820391794e-02
-2.128750000000000087e-02,2.988553442660025344e-02
-2.127499999999999877e-02,2.987656520645937119e-02
-2.126250000000000015e-02,2.986743126005061283e-02
-2.125000000000000153e-02,2.985850466828184058e-02
-2.123749999999999943e-02,2.984982041722291507e-02
-2.122500000000000081e-02,2.984218070397912786e-02
-2.121249999999999872e-02,2.983371280889657653e-02
-2.120000000000000009e-02,2.982546624385546200e-02
-2.118750000000000147e-02,2.981809011529081704e-02
-2.117499999999999938e-02,2.981066702303505206e-02
-2.116250000000000075e-02,2.980221065935750521e-02
-2.114999999999999866e-02,2.979515978391298128e-02
-2.113750000000000004e-02,2.978775499558256740e-02
-2.112500000000000142e-02,2.978271359487132813e-02
-2.111249999999999932e-02,2.977563837232948679e-02
-2.110000000000000070e-02,2.976834957756631372e-02
-2.108749999999999861e-02,2.976109384130953828e-02
-2.107499999999999998e-02,2.975389817436351753e-02
-2.106250000000000136e-02,2.974657054519864313e-02
-2.104999999999999927e-02,2.973975618926758685e-02
-2.103750000000000064e-02,2.973363842669086640e-02
-2.102499999999999855e-02,2.972735519264252391e-02
-2.101249999999999993e-02,2.971975647239970958e-02
-2.100000000000000130e-02,2.971293624091088728e-02
-2.098749999999999921e-02,2.970540027633638072e-02
-2.097500000000000059e-02,2.969840113026285533e-02
-2.096249999999999850e-02,2.969183562934550949e-02
-2.094999999999999987e-02,2.968538393621542038e-02
-2.093750000000000125e-02,2.967788923191861522e-02
-2.092499999999999916e-02,2.967205252214035957e-02
-2.091250000000000053e-02,2.966536505923066808e-02
-2.089999999999999844e-02,2.965879970554202369e-02
-2.088749999999999982e-02,2.965141450542424506e-02
-2.087500000000000119e-02,2.964467127681204295e-02
-2.086249999999999910e-02,2.963796868558687264e-02
-2.085000000000000048e-02,2.963109725701544572e-02
-2.083749999999999838e-02,2.962546378173853967e-02
-2.082499999999999976e-02,2.962028737004178403e-02
