Time (s), Voltage (V)
-4.710508936030999988e-02,2.202055774309682329e-02
-4.708493932374999830e-02,2.201078453645566313e-02
-4.706478928718999671e-02,2.200666952818821492e-02
-4.704463925062000312e-02,2.198161217694582364e-02
-4.702448921406000154e-02,2.197901020181615775e-02
-4.700433917749999996e-02,2.195755394006617192e-02
-4.698418914093999837e-02,2.193507424630187358e-02
-4.696403910436999785e-02,2.191157112052325925e-02
-4.694388906781000320e-02,2.190874180162588614e-02
-4.692373903125000162e-02,2.189107678090061737e-02
-4.690358899469000004e-02,2.188725553240122162e-02
-4.688343895811999951e-02,2.188263828625748586e-02
-4.686328892155999792e-02,2.187923404607084246e-02
-4.684313888500000328e-02,2.186820319599495910e-02
-4.682298884844000170e-02,2.188714330109360617e-02
-4.680283881187000117e-02,2.185721972638070276e-02
-4.678268877530999958e-02,2.184842484993956141e-02
-4.676253873874999800e-02,2.183906143287461799e-02
-4.674238870219000336e-02,2.183997809463366496e-02
-4.672223866562000283e-02,2.185823554553855200e-02
-4.670208862906000125e-02,2.186344267140776648e-02
-4.668193859249999966e-02,2.184877210129292438e-02
-4.666178855593999808e-02,2.185182140025779957e-02
-4.664163851936999755e-02,2.183320821536119394e-02
-4.662148848281000291e-02,2.183439707354597331e-02
-4.660133844625000132e-02,2.182686012367169096e-02
-4.658118840968999974e-02,2.181765807606019306e-02
-4.656103837311999921e-02,2.181770947926299151e-02
-4.654088833655999763e-02,2.180933834288390633e-02
-4.652073830000000298e-02,2.179960537724482186e-02
-4.650058826344000140e-02,2.179942913089722573e-02
-4.648043822687000087e-02,2.179113361344495875e-02
-4.646028819030999929e-02,2.178371006364768214e-02
-4.644013815374999771e-02,2.176638567351427134e-02
-4.641998811719000306e-02,2.175699396135771096e-02
-4.639983808062000253e-02,2.174475890054093294e-02
-4.637968804406000095e-02,2.174253547305672954e-02
-4.635953800749999937e-02,2.177218168701400974e-02
-4.633938797093999779e-02,2.176199354685228599e-02
-4.631923793436999726e-02,2.173181093342956005e-02
-4.629908789781000261e-02,2.174278927268979630e-02
-4.627893786125000103e-02,2.172694254909469241e-02
-4.625878782468999945e-02,2.171295347799455377e-02
-4.623863778811999892e-02,2.170780695825458989e-02
-4.621848775155999733e-02,2.169180887222772053e-02
-4.619833771500000269e-02,2.167774427280304630e-02
-4.617818767844000111e-02,2.170514391718910210e-02
-4.615803764187000058e-02,2.168246392896739858e-02
-4.613788760530999900e-02,2.165807789983876727e-02
-4.611773756874999741e-02,2.164276185644027628e-02
-4.609758753219000277e-02,2.161868228045893750e-02
-4.607743749562000224e-02,2.160552740718887574e-02
-4.605728745906000066e-02,2.161919756279829380e-02
-4.603713742249999907e-02,2.158783976986979741e-02
-4.601698738593999749e-02,2.158538860223293415e-02
-4.599683734936999696e-02,2.156548593173077122e-02
-4.597668731281000232e-02,2.154789580511408745e-02
-4.595653727625000073e-02,2.153261822238288284e-02
-4.593638723968999915e-02,2.154640212915313185e-02
-4.591623720311999862e-02,2.153909502819954455e-02
-4.589608716655999704e-02,2.157200132732297118e-02
-4.587593713000000240e-02,2.155751994609123035e-02
-4.585578709344000081e-02,2.154410031031239042e-02
-4.583563705687000028e-02,2.154259103943423348e-02
-4.581548702030999870e-02,2.155307060862039770e-02
-4.579533698374999712e-02,2.153422023148840805e-02
-4.577518694719000247e-02,2.154719855262819325e-02
-4.575503691062000194e-02,2.156347772089926840e-02
-4.573488687406000036e-02,2.156150623796646709e-02
-4.571473683749999878e-02,2.156298458402187285e-02
-4.569458680093999720e-02,2.153536365942562009e-02
-4.567443676436999667e-02,2.153578086026822561e-02
-4.565428672781000202e-02,2.156423618654967900e-02
-4.563413669125000044e-02,2.154189176198739730e-02
-4.561398665468999886e-02,2.156742798477839784e-02
