Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
11d5/2,6p3/2,1146.488,0.0657,1146.49(7)*,0.7594346,0.0384691,0.759(38),,,,
11d5/2,7p3/2,2152.9591,0.2318,2153.0(2)*,1.1305008,0.0768577,1.131(77),,,,
11d5/2,8p3/2,3757.8586,0.7062,3757.9(7)*,1.6434229,0.144907,1.64(14),,,,
11d5/2,9p3/2,6473.7909,2.0959,6474(2)*,2.4007784,0.2792484,2.40(28),,,,
11d5/2,10p3/2,11713.4423,6.8616,11713(7)*,3.5434637,0.6002258,3.54(60),,,,
11d5/2,11p3/2,25229.5893,31.833,25230(30)*,4.0802655,1.7116619,4.1(17),,,,
11d5/2,12p3/2,128468.6536,829.3255,128500(800)*,194.92913,0.79822,194.93(80),,,,
11d5/2,13p3/2,65466.4484,215.3616,65500(200)*,105.67156,3.50616,105.7(35),,,,
11d5/2,4f5/2,1747.408,0.1527,1747.4(2)*,0.1124875,0.0006554,0.11249(66),,,,
11d5/2,4f7/2,1747.4,0.1527,1747.4(2)*,0.5030524,0.0029318,0.5031(29),,,,
11d5/2,5f5/2,3089.1914,0.4773,3089.2(5)*,0.2955979,0.0011402,0.2956(11),,,,
11d5/2,5f7/2,3089.1733,0.4772,3089.2(5)*,1.3219338,0.0051031,1.3219(51),,,,
11d5/2,6f5/2,5299.6923,1.4046,5300(1)*,0.6636509,0.0019174,0.6637(19),,,,
11d5/2,6f7/2,5299.6474,1.4046,5300(1)*,2.9678953,0.008586,2.9679(86),,,,
11d5/2,7f5/2,9318.3618,4.3425,9318(4)*,1.5149529,0.0054544,1.5150(55),,,,
11d5/2,7f7/2,9318.2576,4.3424,9318(4)*,6.7749805,0.0244206,6.775(24),,,,
11d5/2,8f5/2,18339.9082,16.821,18340(20)*,4.1609532,0.036303,4.161(36),,,,
11d5/2,8f7/2,18339.74,16.8207,18340(20)*,18.607991,0.162437,18.61(16),,,,
11d5/2,9f5/2,54504.8237,159.9812,54500(200)*,23.072761,0.909174,23.07(91),,,,
11d5/2,9f7/2,54501.8531,159.9637,54500(200)*,103.17887,4.06637,103.2(41),,,,
11d5/2,10f5/2,133031.7946,902.3969,133000(900)*,54.993057,0.623121,54.99(62),,,,
11d5/2,10f7/2,133049.4944,902.637,133000(900)*,245.93854,2.78664,245.9(28),,,,
11d5/2,11f5/2,37523.4522,71.7947,37520(70)*,1.447473,0.7955182,1.45(80),,,,
11d5/2,11f7/2,37523.4522,71.7947,37520(70)*,6.4780358,3.5581986,6.5(36),,,,
12d3/2,5p1/2,496.3875,0.0123,496.39(1)*,0.2903692,0.0092186,0.2904(92),,,,
12d3/2,5p3/2,502.3118,0.0126,502.31(1)*,0.1346977,0.0040578,0.1347(41),,,,
12d3/2,6p1/2,1109.9495,0.0616,1109.95(6)*,0.4576224,0.0215926,0.458(22),,,,
12d3/2,6p3/2,1119.5815,0.0627,1119.58(6)*,0.2158351,0.0096181,0.2158(96),,,,
12d3/2,7p1/2,2045.2073,0.2092,2045.2(2)*,0.6610855,0.0414569,0.661(41),,,,
12d3/2,7p3/2,2059.9911,0.2122,2060.0(2)*,0.3167136,0.0185856,0.317(19),,,,
12d3/2,8p1/2,3460.7345,0.599,3460.7(6)*,0.924016,0.0738729,0.924(74),,,,
12d3/2,8p3/2,3483.4588,0.6068,3483.5(6)*,0.4503071,0.033287,0.450(33),,,,
12d3/2,9p1/2,5663.8291,1.6043,5664(2)*,1.2816558,0.1303044,1.28(13),,,,
12d3/2,9p3/2,5700.2468,1.625,5700(2)*,0.6380087,0.0590151,0.638(59),,,,
12d3/2,10p1/2,9340.1205,4.3628,9340(4)*,1.7864712,0.2402126,1.79(24),,,,
12d3/2,10p3/2,9404.3298,4.423,9404(4)*,0.9176624,0.1094516,0.92(11),,,,
12d3/2,11p1/2,16367.9516,13.3982,16370(10)*,2.4462073,0.4990074,2.45(50),,,,
12d3/2,11p3/2,16502.1948,13.6188,16500(10)*,1.3390946,0.2294127,1.34(23),,,,
12d3/2,12p1/2,34364.2612,59.3396,34360(60)*,1.834554,1.3742886,1.8(14),,,,
12d3/2,12p3/2,34787.4487,60.8101,34790(60)*,1.4898389,0.6438061,1.49(64),,,,
12d3/2,13p1/2,168152.0094,1420.8061,1.68(1)E+05*,176.03366,0.75824,176.03(76),,,,
12d3/2,13p3/2,175839.6343,1553.6895,1.76(2)E+05*,79.394659,0.323587,79.39(32),,,,
12d3/2,4f5/2,1685.6635,0.1421,1685.7(1)*,0.3391679,0.0015657,0.3392(16),,,,
12d3/2,5f5/2,2901.315,0.421,2901.3(4)*,0.8507024,0.0021795,0.8507(22),,,,
12d3/2,6f5/2,4769.8045,1.1378,4770(1)*,1.7756251,0.0020828,1.7756(21),,,,
12d3/2,7f5/2,7795.6298,3.0392,7796(3)*,3.5817816,0.0023116,3.5818(23),,,,
12d3/2,8f5/2,13247.1562,8.7761,13247(9)*,7.683921,0.0127955,7.684(13),,,,
12d3/2,9f5/2,25439.4668,34.851,25440(30)*,20.285533,0.139435,20.29(14),,,,
12d3/2,10f5/2,74377.0919,282.0753,74400(300)*,109.94232,4.00793,109.9(40),,,,
12d3/2,11f5/2,175808.7201,1576.041,1.76(2)E+05*,249.47219,2.76463,249.5(28),,,,
12d5/2,5p3/2,502.3042,0.0126,502.30(1)*,0.4022462,0.0116819,0.402(12),,,,
12d5/2,6p3/2,1119.5439,0.0627,1119.54(6)*,0.6432253,0.0275923,0.643(28),,,,
12d5/2,7p3/2,2059.8638,0.2122,2059.9(2)*,0.9420365,0.0532641,0.942(53),,,,
12d5/2,8p3/2,3483.0948,0.6067,3483.1(6)*,1.3365943,0.0953316,1.337(95),,,,
12d5/2,9p3/2,5699.2722,1.6244,5699(2)*,1.8888617,0.1689015,1.89(17),,,,
12d5/2,10p3/2,9401.6773,4.4205,9402(4)*,2.7066833,0.3129908,2.71(31),,,,
12d5/2,11p3/2,16494.0292,13.6054,16490(10)*,3.9210553,0.655201,3.92(66),,,,
12d5/2,12p3/2,34751.1815,60.6834,34750(60)*,4.2032581,1.8336757,4.2(18),,,,
12d5/2,13p3/2,174916.9145,1537.4263,1.75(2)E+05*,238.00467,0.92452,238.00(92),,,,
12d5/2,4f5/2,1685.5783,0.1421,1685.6(1)*,0.090583,0.0004304,0.09058(43),,,,
12d5/2,4f7/2,1685.5709,0.1421,1685.6(1)*,0.4050937,0.0019253,0.4051(19),,,,
12d5/2,5f5/2,2901.0625,0.4209,2901.1(4)*,0.2272513,0.0006299,0.22725(63),,,,
12d5/2,5f7/2,2901.0465,0.4209,2901.0(4)*,1.0162837,0.0028196,1.0163(28),,,,
12d5/2,6f5/2,4769.122,1.1375,4769(1)*,0.4744015,0.0006801,0.47440(68),,,,
12d5/2,6f7/2,4769.0856,1.1374,4769(1)*,2.1215613,0.0030486,2.1216(30),,,,
12d5/2,7f5/2,7793.807,3.0378,7794(3)*,0.9570199,0.0008873,0.95702(89),,,,
12d5/2,7f7/2,7793.7341,3.0377,7794(3)*,4.2798758,0.0039839,4.2799(40),,,,
12d5/2,8f5/2,13241.8936,8.7691,13242(9)*,2.0528811,0.0039283,2.0529(39),,,,
12d5/2,8f7/2,13241.806,8.769,13242(9)*,9.1806576,0.017604,9.181(18),,,,
12d5/2,9f5/2,25420.0666,34.7978,25420(30)*,5.4168424,0.0375642,5.417(38),,,,
12d5/2,9f7/2,25419.4204,34.7961,25420(30)*,24.224431,0.168098,24.22(17),,,,
12d5/2,10f5/2,74211.5028,280.8207,74200(300)*,29.274806,1.034787,29.3(10),,,,
12d5/2,10f7/2,74205.9958,280.779,74200(300)*,130.9137,4.62825,130.9(46),,,,
12d5/2,11f5/2,176740.8978,1592.7983,1.77(2)E+05*,66.745112,0.710233,66.75(71),,,,
12d5/2,11f7/2,176740.8978,1592.7983,1.77(2)E+05*,298.49616,3.17627,298.5(32),,,,
