Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
11s1/2,11p3/2,49677.3456,3.4901,49677(3),89.307537,0.200393,89.31(20),,,,
11s1/2,12p1/2,19369.372,1.913,19369(2),7.5235803,0.0554091,7.524(55),,,,
11s1/2,12p3/2,19237.4653,1.887,19237(2),11.226397,0.075198,11.226(75),,,,
11s1/2,13p1/2,13372.3986,0.9118,13372.4(9),3.0696004,0.0207036,3.070(21),,,,
11s1/2,13p3/2,13326.0662,0.9055,13326.1(9),4.6721647,0.029165,4.672(29),,,,
12s1/2,5p1/2,507.2033,0.0001,507.2033(1),0.1533667,0.0010443,0.1534(10),,,,
12s1/2,5p3/2,513.3901,0.0001,513.3901(1),0.2152519,0.0015678,0.2153(16),,,,
12s1/2,6p1/2,1165.5243,0.0015,1165.524(1),0.3421317,0.0022556,0.3421(23),,,,
12s1/2,6p3/2,1176.1496,0.0015,1176.150(1),0.4751569,0.0033964,0.4752(34),,,,
12s1/2,7p1/2,2242.2073,0.0054,2242.207(5),0.6781996,0.0044433,0.6782(44),,,,
12s1/2,7p3/2,2259.9886,0.0055,2259.989(6),0.9367728,0.0067151,0.9368(67),,,,
12s1/2,8p1/2,4065.0886,0.0178,4065.09(2),1.3328955,0.0089421,1.3329(89),,,,
12s1/2,8p3/2,4096.4786,0.0181,4096.48(2),1.8362906,0.0136256,1.836(14),,,,
12s1/2,9p1/2,7485.0243,0.0603,7485.02(6),2.855954,0.0184891,2.856(18),,,,
12s1/2,9p3/2,7548.7593,0.0614,7548.76(6),3.9358015,0.0283722,3.936(28),,,,
12s1/2,10p1/2,15599.1396,0.2621,15599.1(3),7.9366286,0.0455682,7.937(46),,,,
12s1/2,10p3/2,15779.0678,0.2682,15779.1(3),11.004042,0.071753,11.004(72),,,,
12s1/2,11p1/2,55138.6461,3.2745,55139(3),60.729353,0.127612,60.73(13),,,,
12s1/2,11p3/2,56692.2349,3.4616,56692(3),87.705443,0.200764,87.71(20),,,,
12s1/2,12p1/2,72155.7988,26.1155,72160(30),80.351146,0.194296,80.35(19),,,,
12s1/2,12p3/2,70358.6179,24.8308,70360(20),112.12773,0.29964,112.13(30),,,,
12s1/2,13p1/2,27018.3373,3.6616,27018(4),9.4995528,0.0680435,9.500(68),,,,
12s1/2,13p3/2,26829.8638,3.6107,26830(4),14.147724,0.092275,14.148(92),,,,
13s1/2,5p1/2,500.381,0.025,500.38(3)*,0.1287824,0.000345,0.12878(35),,,,
13s1/2,5p3/2,506.4015,0.0256,506.40(3)*,0.180787,0.000552,0.18079(55),,,,
13s1/2,6p1/2,1130.1173,0.1277,1130.1(1)*,0.2790575,0.0012049,0.2791(12),,,,
13s1/2,6p3/2,1140.1041,0.13,1140.1(1)*,0.3876046,0.0018893,0.3876(19),,,,
13s1/2,7p1/2,2114.7461,0.4472,2114.7(4)*,0.5279843,0.0024804,0.5280(25),,,,
13s1/2,7p3/2,2130.5562,0.4539,2130.6(5)*,0.7291726,0.0039286,0.7292(39),,,,
13s1/2,8p1/2,3664.6413,1.343,3665(1)*,0.9613401,0.0046167,0.9613(46),,,,
13s1/2,8p3/2,3690.1322,1.3618,3690(1)*,1.3234319,0.0073785,1.3234(74),,,,
13s1/2,9p1/2,6231.2673,3.8831,6231(4)*,1.796742,0.0085501,1.7967(86),,,,
13s1/2,9p3/2,6275.3761,3.9382,6275(4)*,2.4704096,0.0137688,2.470(14),,,,
